,sentence,emotion
2979,Could you have one more try ? Please ! See what you can do .,2
2980,We'll have a crew yet !,2
2981,Let's belly up to the bar and get us some refreshment .,2
2982,Could a battalion cross those peaks at night ?,2
2983,How's it taste ?,2
2984,Let's find something to eat .,2
2985,Anything unusual ?,2
2986,Are you coming with me ?,2
2987,"I want to see a friend of mine , a very dear friend .",2
2988,What can I get for you ?,2
2989,They'll love it .,2
2990,I'll take my chances with the gas .,2
2991,"I wondered if you'd do me a favour , if you ain't busy .",2
2992,How'd we do ?,2
2993,You wanted to find out if [PERSON] was a Grimm .,2
2994,That reminds me . We're putting the boat in this weekend .,2
2995,Because we need to look just like them if we want to pass unnoticed .,2
2996,I'll win something .,2
2997,He'll be a good friend .,2
2998,"If this is an escape route , why didn't you escape long ago ?",2
2999,What's this ?,2
3000,We can get cheap tickets from [PERSON]'s parents .,2
3001,We must be coming to the station .,2
3002,"Then once you cross [LOCATION] , you're scot - free , that is until ... Dead Dingo Pass .",2
3003,Would that have satisfied her ? What's that ?,2
3004,See ...,2
3005,I got a gift for you .,2
3006,Started spending every night together .,2
3007,"Sergeant [PERSON] is here , he wants to talk to you .",2
3008,More chanting ! Father !,2
3009,Where would we like it ?,2
3010,Who will write the ... digest ?,2
3011,"All right , let's go back to [LOCATION] and make this movie .",2
3012,"We all wan na get out , and we're going to .",2
3013,We are presenting a performance .,2
3014,"Dad , I wan na go swimming .",2
3015,I'm gonna get the girls .,2
3016,I want you to applying for my son .,2
3017,"Miss [PERSON] , I've been looking for you .",2
3018,"Oh , I wanted you to see this advertising layout .",2
3019,Attention on deck .,2
3020,I'll take the scenic route by foot .,2
3021,I hope it's gonna be a hit .,2
3022,"Round everybody up , pat them down . Let's get EOD in here . You got it .",2
3023,"[PERSON] , show him the paper .",2
3024,So he goes out and he buys a bunch of roses .,2
3025,You want some vodka ?,2
3026,I intend to .,2
3027,"If you can get to his phones , we'll have our leads .",2
3028,"Gentlemen , we'll get to the business of the evening .",2
3029,When did this relationship take place between [PERSON] and [PERSON] ?,2
3030,I'd like to say hi to all the guys down at work .,2
3031,I'll be okay .,2
3032,We walk from here .,2
3033,All right . Set up a meeting . I'll hear them all out .,2
3034,And now they need a new one .,2
3035,Cheers !,2
3036,"How about this , [PERSON] ?",2
3037,The solutions to [LOCATION]'s urgent and long - term potential problems are there .,2
3038,"But she can't say that , which means all [PERSON] stole was a meaningless stack of papers .",2
3039,I'll do everything I can to make a success of it .,2
3040,I want some flowers .,2
3041,When the world is ready ... for a new and better life ... All this will someday come to pass ...,2
3042,"Oh , I'll get the hang of it soon .",2
3043,Where did you get this ?,2
3044,"Let's try it , shall we ?",2
3045,"Smell that , [PERSON] ?",2
3046,When are you going ?,2
3047,You have exact change ?,2
3048,"Oh , my gosh , she was bubbly and outgoing .",2
3049,What do you say we all dance ?,2
3050,Fingers crossed .,2
3051,Who is it ?,2
3052,How are you doing ?,2
3053,"What have you got in there , [PERSON] ?",2
3054,Wan na go have some fun ?,2
3055,"Tomorrow , you'll be looking for a new cobbler or a new teacher .",2
3056,Is it important ?,2
3057,Why the sudden change of heart ?,2
3058,"You know , we still got to decorate .",2
3059,Let's hope it holds out .,2
3060,"Future history , he said .",2
3061,Quickly !,2
3062,Why don't you go start the car ?,2
3063,"Ladies and gentlemen , the famous [PERSON] has gladly consented to sing a few songs for us tonight .",2
3064,I was gonna fix some chow . wanna join me ?,2
3065,Maybe she has a sister .,2
3066,If I use my last wish ...,2
3067,"God , I've got ta be with her , at least till she learns my name .",2
3068,"There's a village back there , and you know they got some girls there that would just --",2
3069,Won't you tell us all about it ?,2
3070,Where's the whiny guy ?,2
3071,How do you like your new boss ?,2
3072,"Come on , come on , where's the tape ?",2
3073,When we are strong ... And are at war ?,2
3074,"He wanted me ,",2
3075,You ready for some eggs and grits ?,2
3076,Unless he had a plan .,2
3077,"Now's as good a time as any , [PERSON] .",2
3078,It's a road trip and a party rolled into one .,2
3079,We'll have just one drink and then we'll go .,2
3080,"Say , that's right .",2
3081,Mr [PERSON] wants to see you right away .,2
3082,It could be .,2
3083,"But inevitably , there comes a time for waking up , even for us .",2
3084,What is your work ?,2
3085,"How is Barley paying you , Mr Wicklow ?",2
3086,"Hi . Come on , dad , let's play ! Come on , dad , please , let's play .",2
3087,I can turn myself on a dozen different ways .,2
3088,Here comes another truck !,2
3089,This is a merchant ship . We're carrying machine parts .,2
3090,But there's tomorrow .,2
3091,"So , you are not seriously hurt ?",2
3092,"Let me finish , sweet .",2
3093,Where did he go ?,2
3094,"Sick dog , what's his name ?",2
3095,He may not be able to use a spoon .,2
3096,Let's see if he's ticklish .,2
3097,"Hey , do we have a sexy crew tonight ?",2
3098,"I'll tell you something I read once , [PERSON] .",2
3099,The one we've been waiting for .,2
3100,Isn't that the young woman who was staying in your house ?,2
3101,"I'm gonna say , this is a crucial moment . For both of you .",2
3102,What does that say ?,2
3103,I wonder what's on the television ?,2
3104,"Hey , would you get a load of this joint ?",2
3105,"Now , [PERSON] , what time do we meet tonight , huh ?",2
3106,How long is your program ?,2
3107,That's funny .,2
3108,"But the magic was just draining out of him every time he got on that commuter train , back and forth from the suburbs every day .",2
3109,Let's rescue father ! Yes !,2
3110,"You mind if I change , honey ?",2
3111,"Learn to read , walk , talk , smile , and even fight .",2
3112,"The cops didn't give you trouble , did they ?",2
3113,"Listen , I'm trying to make a living here .",2
3114,I'm going to take you and buy you a drink .,2
3115,"In the ring , it's like all I see is him .",2
3116,Are you coming to the theater ?,2
3117,I'll be back .,2
3118,( laughs ) I hope isaac is a deep sleeper .,2
3119,You [PERSON] ?,2
3120,Are we there yet ?,2
3121,Ned will tell you exactly when to put in an appearance .,2
3122,I'm through making mistakes .,2
3123,"The war will be over in a few weeks , and I'll be coming back to you .",2
3124,"Why don't you chop it off , [PERSON] ?",2
3125,Come on . Let's go ! Let's wrap this thing up .,2
3126,The chaplain will pray .,2
3127,This will be our child .,2
3128,He's making his big move .,2
3129,Why not destroy senor [PERSON] ?,2
3130,Would you like to hear something ?,2
3131,I just showed courage . - How many fingers you got left ?,2
3132,Do you girls mind if we run some timing trials ?,2
3133,Where do we go to surrender ?,2
3134,The elevator will get you up in three minutes .,2
3135,May I ? May I ?,2
3136,What's the matter ?,2
3137,Come on ! Let's go !,2
3138,"Fighting so he can stand on his own two feet , free and decent .",2
3139,"Well , can you give me what he has ?",2
3140,Want to trick me ?,2
3141,I'll be back tonight .,2
3142,"But in no time at all , you'll be soldiers .",2
3143,We could go see [LOCATION] of the Dolls .,2
3144,There's something I want you to know .,2
3145,I thought that's when my life really began .,2
3146,What I'm going to do is save Mr. [PERSON] from being embarrassed in open court .,2
3147,"God , it will be so good to be finished with all this .",2
3148,Who's the dame ?,2
3149,I'm dead but I'm still functioning .,2
3150,Better jump into the tree and hide,2
3151,Looks like you're going to have a party tonight .,2
3152,You think you'd like to try that before you eat ?,2
3153,Let's get down to cases .,2
3154,Maybe they can take us .,2
3155,You're just in time to help .,2
3156,"If we can force them to come in and face us , we might actually have a chance to overpower them and escape .",2
3157,"If you start to hesitate , call me .",2
3158,... Instead of the ancients . I want to start again .,2
3159,"This isn't a temple , is it ?",2
3160,"All right , guys , what do you got ?",2
3161,He'll be safe with me .,2
3162,"Well , I hope you've managed to get the money , Mr. [PERSON] .",2
3163,What are you giving me ?,2
3164,Here it comes .,2
3165,Pretend the guy's like a balloon .  ,2
3166,I'll have my work all finished by the time you get there .,2
3167,But when I go I go with a bang .,2
3168,"Yes , we can . - How ?",2
3169,I have something .,2
3170,"[LOCATION] , I've got to move some cars ,",2
3171,"All right , mister , you know the routine .",2
3172,Do you feel like having Italian tonight ?,2
3173,I have a business proposition for you .,2
3174,"[PERSON]'s not home but I am , and the front door's unlocked .",2
3175,So now they're best friends ?,2
3176,Do whatever you got to do to get him into that ring !,2
3177,"Accept one of these cigars , professor .",2
3178,"Hi , [PERSON] .",2
3179,We need to meet with the Congressional Black Caucus . Tomorrow .,2
3180,"Let's keep it daddy , okay ? What ?",2
3181,Let's tell ghost stories .,2
3182,"Well , we'd been scouting for what is called delicately a new face .  ",2
3183,How I'd love to hit the jackpot .,2
3184,Do any good ?,2
3185,"Congratulations , Mr. President .",2
3186,Let's get real .,2
3187,I'm getting married .,2
3188,Did you say Army ?,2
3189,I'm gonna finish it .,2
3190,Pain - in - the - balls [PERSON] needs to go see the chest doctor .,2
3191,You'll see the women in [LOCATION] . They're the most beautiful in the world .,2
3192,"It's her , isn't it ?",2
3193,"Deal them up , Shooter .",2
3194,We'll get a new one .,2
3195,What were you gonna say ?,2
3196,"I'll get a job until I get a grubstake , and then I'll try again somewhere .",2
3197,"Watch yourself . Kuwaiti Star , stand by . We're coming in on your port side .",2
3198,There's a gas pump out by the shed .,2
3199,"She was a terrific girl , [PERSON] .",2
3200,"He might even put in bleachers . Oh , yeah !",2
3201,Can you pass some portable pumps to us ?,2
3202,Now .,2
3203,Let me talk to her . Let me just talk to her .,2
3204,"She's wrapped all her adolescent dreams up in one dream prince , and you're it .",2
3205,What if [PERSON]'s not gone ?,2
3206,"You know , we might actually have a voice that would do something .",2
3207,"I knew it all along though , didn't I ? What else it is new , right ?",2
3208,"Well , anyways , I got ta be going .",2
3209,"Ain't no doubt about your gender , girly .",2
3210,He - e-e-ere's Daddy !,2
3211,"Hey , what kind of news are you leaving me there ?",2
3212,Watch this .,2
3213,call me tonight or I ' II go crazy .,2
3214,It'll save my life .,2
3215,"Maybe it'll take a few months , maybe a year .",2
3216,May I ask you a question ?,2
3217,Could turn your whole life around .,2
3218,Your services are no longer needed .,2
3219,Where were you this morning ?,2
3220,"Yep , glad to hear ... see you like music , too ?",2
3221,"And just possibly , we will heal Some of our sickly , and / or ... Crippled followers .",2
3222,"Tonight , we will feast in his honour .",2
3223,Good day to you . I am father mayii .,2
3224,All stations ready . Prepare for diving .,2
3225,"Mom , are we in [LOCATION] yet ?",2
3226,Mrs [PERSON] and I are going on the honeymoon .,2
3227,"How do you take it ? Ah , just like that .",2
3228,"Might take a few days to finalize , but yeah . It's happening .",2
3229,It provides us that delicious house over there .,2
3230,The Food Chain will purchase an apartment for you of your choice .,2
3231,Now he'll be able to have everything he's always wanted and couldn't afford .,2
3232,What are you doing tonight ?,2
3233,Can you get me in to see the Governor ?,2
3234,Did somebody die or lose money or something ?,2
3235,See ?,2
3236,All [LOCATION] is here to be in on the kill .,2
3237,We'll be out of this tunnel in a minute .,2
3238,All we want you to do is tell us what you saw .,2
3239,Aren't you going with [PERSON] ?,2
3240,"There was this one time , it was just me and of these ferocious , mouse - eating dingoes .",2
3241,Getting there by : would be terrific .,2
3242,"Oh , it will be a beautiful attack .",2
3243,"[PERSON] , you'll come with me ?",2
3244,"Come on , buddy .",2
3245,I'm gonna take you to all the capitals of all the countries in the world .,2
3246,I only hope that you're good enough for the [PERSON] .,2
3247,C'mon ! Hurry !,2
3248,Want a transfer back to PT boats ?,2
3249,I'm not getting any younger !,2
3250,Would you like a little more tea ?,2
3251,"First , let's find them .",2
3252,Can you see anything ... anything at all ?,2
3253,I'll play .,2
3254,Let's go home .,2
3255,I'd like to speak to ...,2
3256,How'd you get in there ?,2
3257,I'm your girl .,2
3258,To find out whether you're a gambler or a trainer .,2
3259,Come in .,2
3260,"Oh , the storm's coming .",2
3261,We'll hurry .,2
3262,Company's coming .,2
3263,"[PERSON] , I want to show you our town .",2
3264,Set compressors and prime !,2
3265,Did you decode the message ?,2
3266,What can we eat ?,2
3267,You trying to say capisce ? Yeah .,2
3268,That looks really good .,2
3269,Enjoy your stay in [LOCATION] .,2
3270,"No time to be shy , ladies .",2
3271,Then they'll meet with you .,2
3272,That's right ! Fantastic !,2
3273,"I guess that's for me to know and you to find out , Detective [PERSON] !",2
3274,"Your mom said I had to bring you over that night , even though it was late .",2
3275,Of course . That's it .,2
3276,Because it's on his way . Bye girlfriend !,2
3277,"Oh , [PERSON] , darling , we were expecting you .",2
3278,"[PERSON] just texted me to meet him , but call me back as soon as you can , okay ?",2
3279,I just got a great idea for the campaign . Can you come over ?,2
3280,You're paid at the bank opposite the hospital .,2
3281,Imagine this place on that day when the battleship [LOCATION]  fired that blank shot which signalled the Revolution . ,2
3282,And then you get free .,2
3283,We got this thing won already !,2
3284,Some of the most powerful men in the world are gathered in this clearing .,2
3285,Did you bring some gold with you ?,2
3286,I got to catch that boat .,2
3287,"That's right , babies .",2
3288,Why can't they jam that ?,2
3289,"Don't want that , now , do we ?",2
3290,I want my million .,2
3291,"One last compliment , okay ?",2
3292,What do you make of that ?,2
3293,I assume cash is acceptable .,2
3294,"It was super quick . Okay , will I see you later ?",2
3295,Everybody ready ?,2
3296,And at the end of the happy day he is slaughtered jolly with a knife .,2
3297,I couldn't possibly sit still .,2
3298,How soon can we have this on the market ?,2
3299,Harry . Remember how you used to say life wrote lousy scripts ?,2
3300,What's the action ?,2
3301,"I just said , let's have some lunch .",2
3302,"You fall for a fruit man , you run off and marry him . Boy June , you really know how to pick them .",2
3303,Will you be putting up a new sign ?,2
3304,"Sweetheart , who was that on the phone ?",2
3305,One for you .,2
3306,Willy will soon be here .,2
3307,"If that's true , we were guilty .",2
3308,How's everybody doin' out there ?,2
3309,There's somethin' I want to show you .,2
3310,What's happening ?,2
3311,We got an unknown in here .,2
3312,Can we have [PERSON] ?,2
3313,So secret they didn't even talk about it .,2
3314,"All right , I'll see him right away .",2
3315,Get ready to grab the son of a gun .,2
3316,I headed into the English old country Looking for help .,2
3317,"She looks French , sure .",2
3318,I can't wait to see that [PERSON] .,2
3319,We mustn't let a little thing like this ruin our evening .,2
3320,It's time for us all to stand up and be strong .,2
3321,Then I'm going to write him a letter right now and cheer him up .,2
3322,"Dovitch , I can't wait to tell you about my feature for the next issue .",2
3323,I found something out yesterday .,2
3324,"Yeah , going public will not help you , or me .",2
3325,Hurry back .,2
3326,Let's have some fun .,2
3327,"But I won't know till tomorrow , along about noon .",2
3328,Then I'll take her a petticoat .,2
3329,"Oh , I'm fine .",2
3330,I'll release them .,2
3331,You're gonna love them .,2
3332,Would you like some coffee ?,2
3333,"Well , then , bacon and eggs for me .",2
3334,"How about some great , big , triple - A , jumbo eagle eggs ?",2
3335,Hello !,2
3336,I want you to see it .,2
3337,There's some action at a place in [LOCATION] .,2
3338,"Considering who's in the compound , my guess is it's going to be heavily guarded .",2
3339,"I've been waiting to speak to you , Father .",2
3340,"No , I've got to see you .",2
3341,And what do you say ?,2
3342,"First , I would like to take off my hat .",2
3343,What does it say ?,2
3344,"Let's have a word , sugar puss .",2
3345,"Are you saying he's dead ? Not lying down dead , my friend .",2
3346,Why do you keep this stuff down here ?,2
3347,I'm meeting somebody .,2
3348,"[PERSON] , you're free !",2
3349,I want Dad's yacht fueled and ready for two weeks at [LOCATION] by the time I get there .,2
3350,"They'll be here tomorrow , honey .",2
3351,"All right , boys and girls , come on out .",2
3352,"Never forget that Satan constantly surrounds us , With but one goal in mind ...",2
3353,God ?,2
3354,You find it hard to believe that this is not just a dream you dreamed a long time ago .,2
3355,I want them to tell [PERSON] that [PERSON] is dirty .,2
3356,How's school ?,2
3357,"Ah , we're getting closer now to what happened ...",2
3358,What's your dream ?,2
3359,He doesn't stand a shot in hell !,2
3360,But I'll meet you at the [LOCATION] movie theatre .,2
3361,"I can hear the fat lady singing , [PERSON] . I can hear her singing .",2
3362,Now it's show time .,2
3363,This is [PERSON] reporting live ...,2
3364,I would like to know you .,2
3365,I'd like to see something by the end of the week .,2
3366,I want to speak ...,2
3367,I'm taking a bath .,2
3368,"Come on , let's sing .",2
3369,Any news yet ?,2
3370,"Jefe , wake up !",2
3371,Why do you think there's been no fighting in [PERSON] or [PERSON] ?,2
3372,We can't wait for it .,2
3373,"That shouldn't be too hard to find out , [PERSON]'s wide open .",2
3374,[PERSON] talked with the Inglethorp and it goes away .,2
3375,I'm looking for a girl .,2
3376,There's gonna be a lot of money in town .,2
3377,Tell me publishing dates . ,2
3378,"I want one ! Cuts along on a jolly clip too , doesn't she ?",2
3379,You wanted to see me ?,2
3380,Contact Ambassador [PERSON] and buy me more minutes .,2
3381,He's okay .,2
3382,No . Wait .,2
3383,The government in the palm of my hand .,2
3384,You're wanted in Plot .,2
3385,"How about Admiral [PERSON] , sir ?",2
3386,"Sister [PERSON] , I've got to give the girls their Religious Studies class in fifteen minutes .",2
3387,Fire it up . And it usually results in casualties .,2
3388,People talk about a castle shaped like a hand .,2
3389,You mind if I take my boots off ?,2
3390,"[PERSON] , why don't you take your coat off and stay awhile ?",2
3391,"You deserve this , [PERSON] .",2
3392,"Follow me , please .",2
3393,"Cinch up your seat belts , mates .",2
3394,He'll show up .,2
3395,"It would make me happy to be a grandmother , [PERSON] .",2
3396,"And we are going to get drunk , Cross .",2
3397,I can try .,2
3398,Why don't we see if we can find a nice place for her .,2
3399,"OK , thank you , everyone . That's all .",2
3400,"At that point , I pulled out the phone book and I started contacting attorneys .",2
3401,"Next girl . Show what you can do , [PERSON] .",2
3402,"Oh , I've been hearing about you for a couple of years now .",2
3403,Oh tots !,2
3404,And I give him chance to speak : I will be the soul of the discretion .,2
3405,What about a little music ?,2
3406,Having a nice time ?,2
3407,You want to give the bankers good news tomorrow .,2
3408,"Now , I really think this is a good place to start looking .",2
3409,He'll come to [LOCATION] for his leave and you waiting for him just like a spider !,2
3410,Do you have a boyfriend ?,2
3411,Where'd you get that ?,2
3412,What do you think is right ?,2
3413,You must be wondering why I called you here .,2
3414,He'll lay out the plan of operation for you .,2
3415,"I mean , it's man's favorite subject .",2
3416,You gonna play the Kid ?,2
3417,So some of the guys've been wondering if you are who you say you are .,2
3418,I could smell it the first day you were born .,2
3419,Why don't you put this on ?,2
3420,Pure acid !,2
3421,I want to see it now !,2
3422,"[PERSON] , what do we do now ?",2
3423,I've got a plan .,2
3424,Tell Clyde I'll see him tomorrow .,2
3425,I'm not talking about romance . I'm just talking in general .,2
3426,I can't wait .,2
3427,How about some more mint juice ?,2
3428,"On , on !",2
3429,You hear about it on the news .,2
3430,"Yes , can I have the Command Duty Officer , please ? Thank you .",2
3431,"If [PERSON] was drugged , do you believe what he's saying ?",2
3432,"That's right ! If anyone can get us out of this scrape , it's old [PERSON] !",2
3433,Take care of you .,2
3434,Is he dead ?,2
3435,Shortly after midnight as a surprise .,2
3436,Hey ! Guess what ?,2
3437,I'm about to go get a slice right now .,2
3438,Who's there ?,2
3439,"All you need now is a divorce , and your dreams of [PERSON] can come true .",2
3440,Something's going to happen on [PERSON] soon .,2
3441,I'm expecting great things from you .,2
3442,I have a soft spot for that patriotic stuff .,2
3443,How can I make you believe me ?,2
3444,"The Delta [PERSON] house is having a party tonight , and you are cordially invited .",2
3445,Do it right away .,2
3446,Unlock the door .,2
3447,I heard had good marinara sauce . How was it ?,2
3448,"Yeah , and ...",2
3449,Accepted him lord ... Lick me !,2
3450,This is something that nobody has ever heard about or seen before .,2
3451,This is the calendar for the day .,2
3452,"Gentlemen , I have good news for you .",2
3453,The archery machine !,2
3454,"Let's get rolling , man .",2
3455,We look forward to ...,2
3456,The Secretary of State is here . Madam Secretary .,2
3457,"Maybe if I do you , then I wouldn't care about losing millions of dollars .",2
3458,"If you accept the bouncer dimensional theory , it's highly likely that we've done a hell of a lot of damage .",2
3459,What happened ?,2
3460,"Will you be joining us , Mr. [PERSON] ?",2
3461,Apollo won't know what hit him .,2
3462,"Who had given me knowledge , my expensive one .",2
3463,I think it's going well .,2
3464,What are you ?,2
3465,"How do you play stud , [PERSON] ?",2
3466,"What do you think ? Yeah , that's it .",2
3467,I think you'll like it .,2
3468,I wanted to ask you a couple of questions .,2
3469,But I will come back .,2
3470,"Things started to pick up for the home team when [PERSON]'s brother , a ganef if ever I saw one , took the stand .",2
3471,Got a chance of a job there ?,2
3472,I think we can finally nail [PERSON] .,2
3473,"Yes sir , the thrill of the open road .",2
3474,"I , on the other hand , had beaten them at their own system and subsequently [PERSON] rather effortlessly , floating up from mere marketing through the corridors of policy and on to the board and along the way promoting [PERSON]",2
3475,I'm going to college but hoping to do volunteer work in the summer .,2
3476,It's the right mate too . - How do you know ? - I looked .,2
3477,"What about chatting these two birds up , then ?",2
3478,"Elder , let's go in Elder ! Thrust out our chests",2
3479,The pilots are up early for squadron exercises .,2
3480,Another miracle will happen .,2
3481,You wanted big ... real big .,2
3482,"Sergeant , does this mean we're through for the day ?",2
3483,That's a dream worth living for .,2
3484,We'll have a little surprise for you tonight .,2
3485,I'll go with you .,2
3486,I'm gonna get her .,2
3487,A composer ?,2
3488,Let him go .,2
3489,"You like the color , [PERSON] ?",2
3490,"We've still got her , don't we , [PERSON] ? Oh , yeah .",2
3491,"What I want you to do is go over to your church , get crosses , and prayer books , and Bibles , and whatever the hell else you people use .",2
3492,I need to get up to see some people named [PERSON] .,2
3493,It's loaded .,2
3494,Let all that breathe partake,2
3495,We'll see you out there .,2
3496,"Hang on , hang on .",2
3497,I wonder if I could remind the [PERSON] of his promise ... that I might speak to him at any time ?,2
3498,"Early days yet , sir .",2
3499,I'm going to tell him someday just exactly what I think of him .,2
3500,Or haven't you heard ?,2
3501,I want to play the pain in [PERSON] .,2
3502,"What I want is linguini at [PERSON]'s . A little linguini , a little scungilli .",2
3503,"Personally , I think the Kid's chances are better .",2
3504,"Come on , come on , come on , come on .",2
3505,You were going to give me that statue .,2
3506,I need a drink .,2
3507,Think he'll give me a raise ?,2
3508,The whole buck ?,2
3509,The dough will come in the morning .,2
3510,"Boy , that'll be something .",2
3511,"At this rate , we'll have to head home inside hours .",2
3512,Maybe I should just go back to the clinic ?,2
3513,"You're young , you'll figure it out .",2
3514,We're going to start with the high board .,2
3515,You're probably not interested .,2
3516,Isn't the reverse possible ?,2
3517,Shall we go to dinner ?,2
3518,We got a schedule . Come on .,2
3519,"Hey [PERSON] , let's introduce everybody to [PERSON] tonight .",2
3520,"Oh , yes , I do . I want you to go home and tune in the show !",2
3521,"And secure for sea . Aye , sir .",2
3522,How come you adopted me ?,2
3523,We're going sailing .,2
3524,l had a dream that I was drowning .,2
3525,How'd it go ?,2
3526,You think I have a chance at that ?,2
3527,"Yes , yes ? Is it true that priests and nuns Have orgies in the [LOCATION] ?",2
3528,"And , [PERSON] , we have a breathtaking adventure in front of us .",2
3529,Hi ! - Woman : How are you ?,2
3530,He's been recorded saying ...,2
3531,"[PERSON] , [PERSON] , it's Trubel !",2
3532,"It's gonna take some getting used to , isn't it ?",2
3533,I'm taking him out to see monuments .,2
3534,"Professor , professor !",2
3535,We'll go tomorrow .,2
3536,Follow me !,2
3537,The time in [LOCATION] will be so good for you .,2
3538,"Go ahead , bet your sixes , buster .",2
3539,"New places , new people and new sites of interest .",2
3540,"I can be a friend to you , you know .",2
3541,"That was close , mate .",2
3542,Are we ready ?,2
3543,Sign it !,2
3544,The brooding eyes ...,2
3545,"Oh , this is such a nice blouse , it has a lot of cleavage And that ought to be very good for business .",2
3546,Are you any different ?,2
3547,How are you ?,2
3548,"I'll bet in no time , we could have a whole new car and everything .",2
3549,Are you sure they're here ?,2
3550,"Okay , we need to locate [PERSON]'s father immediately .",2
3551,"Don't worry . A couple more years , and [PERSON] will be a speed freak like us old - timers .",2
3552,Here we go !,2
3553,See you later .,2
3554,"Well , then , come on and find out .",2
3555,"Sunday afternoon , [PERSON] will bring your video machine and some tapes and a plant .",2
3556,I know how he manipulates .,2
3557,All we want to do is talk to you .,2
3558,"Yeah , I can just tell the way it smells that this is gonna be a great year for cotton , yeah .",2
3559,I thought we'd celebrate . Going to take us to dinner ?,2
3560,"Hey [PERSON] , come here and help your grandma for a minute .",2
3561,You gave me your word .,2
3562,[PERSON] says you guessed the strategy months ago .,2
3563,I have a lot to tell you tomorrow .,2
3564,"Now , who's next ?",2
3565,"This is in these documents , it is .",2
3566,I want to see [PERSON] .,2
3567,Why don't you sit in with us on it ?,2
3568,"And , besides , I'd like to try this case myself .",2
3569,"You're not ? - No , I'm not .",2
3570,They say you offering me favours .,2
3571,Night !,2
3572,"Yeah . What did you ask up , buddy ?",2
3573,I am the one who cuts the throats of the Communists .,2
3574,I'm going to call up [PERSON] now .,2
3575,So you're a chef ?,2
3576,"You know , I think I'll start reviving that tomorrow .",2
3577,"So , do you need me to try to remember something ?",2
3578,Go tell your dad I need him .,2
3579,I'm a little tense about the exam tomorrow .,2
3580,Are you a fool or a mutineer ?,2
3581,I'll go back to [LOCATION] and be a Fuller Brush girl .,2
3582,Okay . Let's have lunch .,2
3583,Feel the burn . Let me get you a drink .,2
3584,I want to drink a toast to you .,2
3585,"Now , you mind if I dance with your wife ?",2
3586,We've escaped !,2
3587,"Listen , I know why you've come .",2
3588,What's wrong ?,2
3589,"If I hurry , perhaps I might even be home in time for tea .",2
3590,They'll contact you when they're ready to fence their goods .,2
3591,Take me home .,2
3592,"May we hear our next bid , please ?",2
3593,"Well , maybe you can help me .",2
3594,Who wants to be first ?,2
3595,See you around .,2
3596,Take the day off .,2
3597,You'll thank me when you're free .,2
3598,"Since we're staying in , order me the macaroni and cheese , and get one of those little bottles of wine 'cause I don't want to drink too much .",2
3599,Didn't he tell you that the mess boys ate the strawberries ?,2
3600,A Russian friend of mine has written an important novel .,2
3601,Or hunting . You prefer hunting ?,2
3602,"Any vampires around these parts , [LOCATION] ?",2
3603,"If I'm going to vote , I ought to study some of the bills .",2
3604,I'm gonna get a closer look at it .,2
3605,"I mean , our smartphone has to be the smartest . - Yeah .",2
3606,You tell [PERSON] ?,2
3607,And what I want is for you to befriend him .,2
3608,You've got to come out .,2
3609,That's where we'll find him .,2
3610,"Have a cigar , [PERSON] , and I'll join you .",2
3611,"All right , you guys , come on .",2
3612,"[PERSON] , anybody who's got two fists and a good heartbeat , they got a chance .",2
3613,Hope you'll be there .,2
3614,It's just that we have our annual audit coming up and I thought I should probably stay put .,2
3615,Yeah . I'm not really in any hurry .,2
3616,I thought we could even get you a new dress,2
3617,Give me a call when you get this .,2
3618,Like a new song .,2
3619,"Dr. [PERSON] , I am waiting for your reply .",2
3620,There sure is gonna be some interesting people at that party .,2
3621,I'm getting off at the next stop . That's impossible .,2
3622,No scars .,2
3623,I want to find out about this place .,2
3624,"Soon , sir .",2
3625,"I'm talking about a fantastic international extravaganza , to be held in [LOCATION] , called Lettin' It Go In [LOCATION] .",2
3626,Haven't you heard ?,2
3627,"Darling , is that you ?",2
3628,Grab him .,2
3629,"I say , something kind of important has come up .",2
3630,Hope you took your Geritol ... 'Cause it's time to dance !,2
3631,Welcome to [LOCATION] !,2
3632,"Okay , we'll be in touch .",2
3633,Then I wan na make a speech from the top of the hill .,2
3634,We'll find out someday .,2
3635,But that's what you got to do .,2
3636,Why don't you come in and join ...,2
3637,Your time comes again .,2
3638,Fantasia !,2
3639,"I'm worth the risk , you'll see .",2
3640,"We must act immediately , tonight !",2
3641,"Oh , of course .",2
3642,It's coming form up there .,2
3643,Easy . What is it ?,2
3644,Bird leaves at . Be there or swim . We got more coming !,2
3645,I'm expecting a baby .,2
3646,"And what's more , I'm going to marry you , Terenia !",2
3647,I'll put in for a transfer .,2
3648,Don't have a boyfriend ?,2
3649,"People , this'll be picture !",2
3650,Can you play the balalaika ? Can she play ?,2
3651,"We're standing on the brink of a new world , and ...",2
3652,I was astonished at the extent of his reputation .,2
3653,A very mean hand .,2
3654,Do you want to smell ?,2
3655,I need to know if this is what you want .,2
3656,We'll be home soon .,2
3657,I could do with a lot of that .,2
3658,But I don't know anything about [LOCATION] .,2
3659,We might go into business . Doing what ?,2
3660,"Can I help , or would you like to leave a message ?",2
3661,"Well , now I'll tell you what I had on my mind .",2
3662,Every last drop .,2
3663,"Come on , [PERSON] . There's fish in the stream .",2
3664,"[PERSON] , I'd like to hear it speak .",2
3665,But I think you'll enjoy his game .,2
3666,When do I get the money ?,2
3667,Quick !,2
3668,"Well , duty calls .",2
